Time	EEG_Fp1	EEG_Fp2	PPG
오후 1:49:27.201 	0.000063	0.000042	0.000912
오후 1:49:27.201 	0.000075	0.000056	0.000912
오후 1:49:27.203 	0.000082	0.000055	0.000912
오후 1:49:27.203 	0.000052	0.000006	0.000912
오후 1:49:27.205 	0.000069	0.000036	0.000912
오후 1:49:27.205 	0.000073	0.000036	0.000912
오후 1:49:27.245 	0.000076	0.000035	0.000912
오후 1:49:27.245 	0.000064	0.000036	0.000912
오후 1:49:27.248 	0.000051	0.000031	0.000912
오후 1:49:27.248 	0.000050	0.000033	0.000912
오후 1:49:27.249 	0.000081	0.000063	0.000912
오후 1:49:27.249 	0.000063	0.000047	0.000912
오후 1:49:27.252 	0.000053	0.000028	0.000912
오후 1:49:27.252 	0.000059	0.000026	0.000912
오후 1:49:27.254 	0.000074	0.000045	0.000912
오후 1:49:27.254 	0.000079	0.000058	0.000912
오후 1:49:27.285 	0.000085	0.000061	0.000912
오후 1:49:27.285 	0.000079	0.000071	0.000912
오후 1:49:27.287 	0.000096	0.000089	0.000912
오후 1:49:27.287 	0.000092	0.000074	0.000912
오후 1:49:27.288 	0.000065	0.000042	0.000912
오후 1:49:27.288 	0.000043	0.000019	0.000912
오후 1:49:27.290 	0.000076	0.000050	0.000912
오후 1:49:27.290 	0.000100	0.000059	0.000912
오후 1:49:27.293 	0.000079	0.000043	0.000912
오후 1:49:27.293 	0.000084	0.000053	0.000912
오후 1:49:27.296 	0.000078	0.000048	0.000912
오후 1:49:27.296 	0.000098	0.000070	0.000912
오후 1:49:27.313 	0.000115	0.000079	0.000912
오후 1:49:27.313 	0.000091	0.000061	0.000912
오후 1:49:27.315 	0.000049	0.000018	0.000912
오후 1:49:27.315 	0.000084	0.000077	0.000912
오후 1:49:27.317 	0.000081	0.000066	0.000912
오후 1:49:27.317 	0.000069	0.000031	0.000912
오후 1:49:27.318 	0.000083	0.000055	0.000912
오후 1:49:27.318 	0.000093	0.000079	0.000912
오후 1:49:27.321 	0.000128	0.000106	0.000912
오후 1:49:27.321 	0.000096	0.000075	0.000912
오후 1:49:27.323 	0.000072	0.000051	0.000912
오후 1:49:27.323 	0.000089	0.000065	0.000912
오후 1:49:27.340 	0.000114	0.000081	0.000912
오후 1:49:27.340 	0.000080	0.000054	0.000912
오후 1:49:27.344 	0.000077	0.000051	0.000912
오후 1:49:27.344 	0.000076	0.000059	0.000912
오후 1:49:27.346 	0.000058	0.000046	0.000912
오후 1:49:27.346 	0.000069	0.000056	0.000912
